,ano,cod_micror,nome_micro,ranking_idh,idh,ranking_renda,idh_renda,ranking_educacao,idh_educacao,ranking_longev,idh_longevidade,lat,long
14,1991,35015,Batatais,808.6666666666666,0.5008333333333335,640.0,0.6413333333333332,1073.0,0.26866666666666666,713.8333333333334,0.7348333333333333,-21.142893746538167,-47.336745090853775
15,1991,35016,Andradina,715.2727272727273,0.5194545454545454,840.0,0.6271818181818182,792.2727272727273,0.3105454545454545,815.0,0.7308181818181818,-20.858937483458558,-51.308028451134994
16,1991,35017,Araçatuba,601.5714285714286,0.5234285714285714,676.2857142857143,0.6414285714285715,623.5714285714286,0.3165714285714286,1343.5714285714287,0.7117142857142857,-21.095629025409597,-50.54065079922788
17,1991,35018,Birigui,843.8333333333334,0.5018888888888889,1144.2777777777778,0.6068333333333334,830.8888888888889,0.2936666666666668,1178.5,0.7160555555555557,-21.287573674617878,-50.177674346061025
18,1991,35019,Lins,824.25,0.504875,1129.5,0.61025,811.75,0.293875,1066.5,0.7223749999999999,-21.70019063646799,-49.75394932931915
19,1991,35020,Bauru,1028.857142857143,0.4925238095238094,1187.3333333333333,0.6097142857142855,1077.904761904762,0.27971428571428575,1263.0,0.7131428571428572,-22.22329321292618,-49.14281890929554
20,1991,35021,Jaú,608.0,0.5234166666666668,465.4166666666667,0.66,788.5,0.30133333333333334,895.0833333333334,0.7293333333333334,-22.304754092095944,-48.61592361081602
21,1991,35022,Avaré,1397.625,0.46775,899.625,0.6239999999999999,1626.5,0.239,1741.5,0.698,-23.209900198237452,-49.00800890266082
22,1991,35023,Botucatu,1191.4285714285713,0.4837142857142857,749.7142857142857,0.6381428571428572,1452.857142857143,0.254,1190.5714285714287,0.7151428571428572,-22.93941931500903,-48.34057541507896
23,1991,35024,Araraquara,1110.8,0.48606666666666676,418.53333333333336,0.6586666666666668,1538.2666666666667,0.2458666666666667,1042.8666666666666,0.7248666666666665,-21.68010000550743,-48.67231248188738
24,1991,35025,São Carlos,703.5,0.5213333333333333,343.0,0.6713333333333334,966.1666666666666,0.2925,823.1666666666666,0.7341666666666667,-21.99955595399425,-47.89766701940417
25,1991,35026,Rio Claro,607.1666666666666,0.5241666666666668,394.0,0.66,866.8333333333334,0.2956666666666667,537.3333333333334,0.746,-22.31382668012417,-47.780637412967614
26,1991,35027,Limeira,339.5,0.5473750000000001,202.125,0.682125,510.25,0.32475000000000004,507.625,0.74475,-22.517158285387527,-47.358657032626496
27,1991,35028,Piracicaba,482.4166666666667,0.5365833333333333,222.75,0.6925833333333334,717.6666666666666,0.3031666666666667,673.75,0.7404166666666668,-22.743464399862404,-47.75432639118771
28,1991,35029,Pirassununga,486.75,0.53825,325.0,0.6695,633.5,0.32525,903.25,0.7247499999999999,-21.94641942377429,-47.26207998149345
29,1991,35030,São João da Boa Vista,787.7857142857143,0.5103571428571428,587.9285714285714,0.6445,1014.0,0.28235714285714286,684.0714285714286,0.7388571428571428,-21.745732177737615,-46.84019905077056
30,1991,35031,Moji Mirim,624.4285714285714,0.5195714285714286,251.14285714285714,0.6748571428571429,871.1428571428571,0.2902857142857143,989.8571428571429,0.7234285714285714,-22.453517842307004,-47.003854647964594
31,1991,35032,Campinas,447.25,0.5436875000000001,188.375,0.6945624999999999,707.5625,0.31318749999999995,434.6875,0.7484375000000001,-22.817802930663273,-47.17303983053197
32,1991,35033,Amparo,923.25,0.5035,578.125,0.647375,1195.0,0.27699999999999997,846.125,0.7295,-22.692736488746082,-46.71315529406982
33,1991,35034,Dracena,1049.7,0.4911,1508.2,0.5867000000000001,988.8,0.2939,1633.3,0.7024,-21.38980932292343,-51.66124265694786
34,1991,35035,Adamantina,1043.4285714285713,0.49178571428571427,1410.857142857143,0.5917857142857142,1008.0714285714286,0.2895714285714286,1359.5,0.7102142857142857,-21.706114739408626,-50.997687816078276
35,1991,35036,Presidente Prudente,905.2,0.5,1443.8666666666666,0.5918666666666668,804.5,0.2994000000000001,1306.3333333333333,0.7126333333333332,-22.15951232678118,-51.60014152025931
36,1991,35037,Tupã,1072.4285714285713,0.48628571428571427,839.4285714285714,0.6265714285714286,1206.142857142857,0.26571428571428574,1489.2857142857142,0.7054285714285715,-21.908422549296027,-50.56244362660368
37,1991,35038,Marília,1139.7692307692307,0.48553846153846164,1336.4615384615386,0.5975384615384616,1174.2307692307693,0.2761538461538462,1363.7692307692307,0.7099999999999999,-22.239588412690985,-49.93117196876107
38,1991,35039,Assis,1019.8235294117648,0.4931176470588236,1168.7058823529412,0.6078235294117648,1082.1764705882354,0.2785294117647058,1159.1764705882354,0.7188235294117646,-22.644070530230653,-50.554982376993316
39,1991,35040,Ourinhos,1478.388888888889,0.4609999999999999,1368.1666666666667,0.5948333333333333,1637.3333333333333,0.2401111111111111,1501.111111111111,0.7066111111111112,-23.037260331696643,-49.55024191761814
40,1991,35041,Itapeva,2542.0,0.39474999999999993,2043.9166666666667,0.55525,2666.3333333333335,0.17658333333333334,2750.5,0.65875,-23.831751029008498,-49.097392793053025
41,1991,35042,Itapetininga,1981.6,0.4306,798.0,0.6266,2455.2,0.1924,2001.8,0.6885999999999999,-23.5874047519511,-48.14687395611266
42,1991,35043,Tatuí,801.8888888888889,0.5054444444444444,719.5555555555555,0.6406666666666666,911.1111111111111,0.28611111111111115,1226.0,0.7146666666666666,-23.20919369113747,-47.93478346124869
43,1991,35044,Capão Bonito,3138.9,0.359,2713.3,0.5186,3396.9,0.1413,2957.2,0.6506000000000001,-24.436682107357313,-48.82553184406605
44,1991,35045,Piedade,1824.8,0.43739999999999996,915.0,0.6177999999999999,2160.4,0.2,2146.8,0.6832,-23.78340442146321,-47.63994688093342
45,1991,35046,Sorocaba,840.1333333333333,0.5021333333333334,501.06666666666666,0.6542,1045.6666666666667,0.2748666666666667,1301.0666666666666,0.7115333333333334,-23.419356979584336,-47.38480217731661
46,1991,35047,Jundiaí,808.6,0.5102,241.6,0.6804,1252.4,0.2672,564.6,0.7442,-23.153892997282497,-46.99957726059963
47,1991,35048,Bragança Paulista,1374.909090909091,0.46981818181818186,434.3636363636364,0.6626363636363637,1899.3636363636363,0.22218181818181823,1061.1818181818182,0.7214545454545455,-23.07684516092254,-46.65277105554065
48,1991,35049,Campos do Jordão,1272.25,0.4705,697.75,0.63425,1621.75,0.22999999999999998,1206.75,0.7155,-22.80351507165815,-45.73581375893063
49,1991,35050,São José dos Campos,478.5,0.541875,229.375,0.68375,672.0,0.320875,764.25,0.738625,-23.12233558238964,-45.771093914839824
50,1991,35051,Guaratinguetá,765.3636363636364,0.5185454545454545,912.4545454545455,0.6294545454545455,755.3636363636364,0.3172727272727272,1411.6363636363637,0.7084545454545453,-22.68437861168729,-45.08250528070709
51,1991,35052,Bananal,2225.0,0.41419999999999996,2111.4,0.5522,2326.2,0.19119999999999998,2271.8,0.6778,-22.67227610049138,-44.5934760133887
52,1991,35053,Paraibuna/Paraitinga,2209.1428571428573,0.41500000000000004,1820.0,0.5685714285714285,2551.0,0.18057142857142858,1649.4285714285713,0.7052857142857143,-23.223683993586942,-45.288820241147974
53,1991,35054,Caraguatatuba,568.5,0.5155000000000001,242.75,0.67275,769.75,0.28700000000000003,1360.5,0.7102499999999999,-23.70174000146449,-45.36054853878093
